,position,birth_country,weight,birth_state,name_display_first_last,college,height_inches,name_display_roster,sport_code,bats,name_first,team_code,birth_city,height_feet,pro_debut_date,team_full,team_abbrev,birth_date,throws,league,name_display_last_first,position_id,high_school,name_use,player_id,name_last,team_id,service_years,active_sw
109,P,Dominican Republic,215,,Jose Manuel Fernandez,,3,"Fernandez, J. Man.",mlb,L,Jose Manuel,det,Mao,6,2018-09-01T00:00:00,Detroit Tigers,DET,1993-02-13T00:00:00,L,AL,"Fernandez, Jose Manuel",1,,Jose Manuel,622774,Fernandez,116,,Y
110,P,Curacao,265,,Kenley Jansen,,5,"Jansen, K",mlb,S,Kenley,lan,Willemstad,6,2010-07-24T00:00:00,Los Angeles Dodgers,LAD,1987-09-30T00:00:00,R,NL,"Jansen, Kenley",1,,Kenley,445276,Jansen,119,,Y
111,P,USA,225,TX,Clayton Kershaw,,4,Kershaw,mlb,L,Clayton,lan,Dallas,6,2008-05-25T00:00:00,Los Angeles Dodgers,LAD,1988-03-19T00:00:00,L,NL,"Kershaw, Clayton",1,"Highland Park, Dallas, TX",Clayton,477132,Kershaw,119,,Y
112,P,USA,249,WA,Jon Lester,,4,Lester,mlb,L,Jon,sln,Tacoma,6,2006-06-10T00:00:00,St. Louis Cardinals,STL,1984-01-07T00:00:00,L,NL,"Lester, Jon",1,"Bellarmine Prep, Tacoma, WA",Jon,452657,Lester,138,,Y
113,P,USA,215,CO,Mark Melancon,Arizona,1,Melancon,mlb,R,Mark,sdn,Wheat Ridge,6,2009-04-26T00:00:00,San Diego Padres,SD,1985-03-28T00:00:00,R,NL,"Melancon, Mark",1,"Golden, CO",Mark,453343,Melancon,135,,Y
114,P,USA,246,TN,Drew Pomeranz,Mississippi,5,Pomeranz,mlb,R,Drew,sdn,Memphis,6,2011-09-11T00:00:00,San Diego Padres,SD,1988-11-22T00:00:00,L,NL,"Pomeranz, Drew",1,"Collierville, TN",Drew,519141,Pomeranz,135,,Y
115,P,USA,200,TX,AJ Ramos,Texas Tech,10,"Ramos, A",mlb,R,AJ,col,Lubbock,5,2012-09-04T00:00:00,Colorado Rockies,COL,1986-09-20T00:00:00,R,NL,"Ramos, AJ",1,"Estacado, Lubbock, TX",AJ,573109,Ramos,115,,Y
116,P,Dominican Republic,240,,Fernando Rodney,,11,Rodney,mlb,R,Fernando,hou,Samana,5,2002-05-04T00:00:00,Houston Astros,HOU,1977-03-18T00:00:00,R,AL,"Rodney, Fernando",1,"Liceo Sol Ana Nolan, DOM",Fernando,407845,Rodney,117,,Y
117,P,USA,208,MO,Max Scherzer,Missouri,3,Scherzer,mlb,R,Max,lan,St. Louis,6,2008-04-29T00:00:00,Los Angeles Dodgers,LAD,1984-07-27T00:00:00,R,NL,"Scherzer, Max",1,"Parkway Central, Chesterfield, MO",Max,453286,Scherzer,119,,Y
118,P,USA,240,CA,Stephen Strasburg,San Diego State,5,Strasburg,mlb,R,Stephen,was,San Diego,6,2010-06-08T00:00:00,Washington Nationals,WSH,1988-07-20T00:00:00,R,NL,"Strasburg, Stephen",1,"West Hills, Santee, CA",Stephen,544931,Strasburg,120,,Y
